,library,sample,protocol,platform,lab,batch,rep,sample_rep
206,R_ILM_L5_B2_D6_2,D6,R,ILM,L5,R_ILM_L5_B2,2,D6_2
207,R_ILM_L5_B3_D6_2,D6,R,ILM,L5,R_ILM_L5_B3,2,D6_2
208,R_ILM_L5_B1_D6_3,D6,R,ILM,L5,R_ILM_L5_B1,3,D6_3
209,R_ILM_L5_B2_D6_3,D6,R,ILM,L5,R_ILM_L5_B2,3,D6_3
210,R_ILM_L5_B3_D6_3,D6,R,ILM,L5,R_ILM_L5_B3,3,D6_3
211,R_ILM_L5_B1_F7_1,F7,R,ILM,L5,R_ILM_L5_B1,1,F7_1
212,R_ILM_L5_B2_F7_1,F7,R,ILM,L5,R_ILM_L5_B2,1,F7_1
213,R_ILM_L5_B3_F7_1,F7,R,ILM,L5,R_ILM_L5_B3,1,F7_1
214,R_ILM_L5_B1_F7_2,F7,R,ILM,L5,R_ILM_L5_B1,2,F7_2
215,R_ILM_L5_B2_F7_2,F7,R,ILM,L5,R_ILM_L5_B2,2,F7_2
216,R_ILM_L5_B3_F7_2,F7,R,ILM,L5,R_ILM_L5_B3,2,F7_2
217,R_ILM_L5_B1_F7_3,F7,R,ILM,L5,R_ILM_L5_B1,3,F7_3
218,R_ILM_L5_B2_F7_3,F7,R,ILM,L5,R_ILM_L5_B2,3,F7_3
219,R_ILM_L5_B3_F7_3,F7,R,ILM,L5,R_ILM_L5_B3,3,F7_3
220,R_ILM_L5_B1_M8_1,M8,R,ILM,L5,R_ILM_L5_B1,1,M8_1
221,R_ILM_L5_B2_M8_1,M8,R,ILM,L5,R_ILM_L5_B2,1,M8_1
222,R_ILM_L5_B3_M8_1,M8,R,ILM,L5,R_ILM_L5_B3,1,M8_1
223,R_ILM_L5_B1_M8_2,M8,R,ILM,L5,R_ILM_L5_B1,2,M8_2
224,R_ILM_L5_B2_M8_2,M8,R,ILM,L5,R_ILM_L5_B2,2,M8_2
225,R_ILM_L5_B3_M8_2,M8,R,ILM,L5,R_ILM_L5_B3,2,M8_2
226,R_ILM_L5_B1_M8_3,M8,R,ILM,L5,R_ILM_L5_B1,3,M8_3
227,R_ILM_L5_B2_M8_3,M8,R,ILM,L5,R_ILM_L5_B2,3,M8_3
228,R_ILM_L5_B3_M8_3,M8,R,ILM,L5,R_ILM_L5_B3,3,M8_3
229,R_ILM_L6_B1_D5_1,D5,R,ILM,L6,R_ILM_L6_B1,1,D5_1
230,R_ILM_L6_B1_D5_2,D5,R,ILM,L6,R_ILM_L6_B1,2,D5_2
231,R_ILM_L6_B1_D5_3,D5,R,ILM,L6,R_ILM_L6_B1,3,D5_3
232,R_ILM_L6_B1_D6_1,D6,R,ILM,L6,R_ILM_L6_B1,1,D6_1
233,R_ILM_L6_B1_D6_2,D6,R,ILM,L6,R_ILM_L6_B1,2,D6_2
234,R_ILM_L6_B1_D6_3,D6,R,ILM,L6,R_ILM_L6_B1,3,D6_3
235,R_ILM_L6_B1_F7_1,F7,R,ILM,L6,R_ILM_L6_B1,1,F7_1
236,R_ILM_L6_B1_F7_2,F7,R,ILM,L6,R_ILM_L6_B1,2,F7_2
237,R_ILM_L6_B1_F7_3,F7,R,ILM,L6,R_ILM_L6_B1,3,F7_3
238,R_ILM_L6_B1_M8_1,M8,R,ILM,L6,R_ILM_L6_B1,1,M8_1
239,R_ILM_L6_B1_M8_2,M8,R,ILM,L6,R_ILM_L6_B1,2,M8_2
240,R_ILM_L6_B1_M8_3,M8,R,ILM,L6,R_ILM_L6_B1,3,M8_3
241,R_ILM_L8_B1_D5_1,D5,R,ILM,L8,R_ILM_L8_B1,1,D5_1
242,R_ILM_L8_B1_D5_2,D5,R,ILM,L8,R_ILM_L8_B1,2,D5_2
243,R_ILM_L8_B1_D5_3,D5,R,ILM,L8,R_ILM_L8_B1,3,D5_3
244,R_ILM_L8_B1_D6_1,D6,R,ILM,L8,R_ILM_L8_B1,1,D6_1
245,R_ILM_L8_B1_D6_2,D6,R,ILM,L8,R_ILM_L8_B1,2,D6_2
246,R_ILM_L8_B1_D6_3,D6,R,ILM,L8,R_ILM_L8_B1,3,D6_3
247,R_ILM_L8_B1_F7_1,F7,R,ILM,L8,R_ILM_L8_B1,1,F7_1
248,R_ILM_L8_B1_F7_2,F7,R,ILM,L8,R_ILM_L8_B1,2,F7_2
249,R_ILM_L8_B1_F7_3,F7,R,ILM,L8,R_ILM_L8_B1,3,F7_3
250,R_ILM_L8_B1_M8_1,M8,R,ILM,L8,R_ILM_L8_B1,1,M8_1
251,R_ILM_L8_B1_M8_2,M8,R,ILM,L8,R_ILM_L8_B1,2,M8_2
252,R_ILM_L8_B1_M8_3,M8,R,ILM,L8,R_ILM_L8_B1,3,M8_3
